Site,COND,ECLOI,ENT,FC,SAL,SED_GS_u22_9,SED_GS_u69_1,SED_ISO_C,SED_ISO_N,SED_MET_Fe,SED_MET_P,TEMP,WQ_CAR_PH,WQ_DIAG_ISO_del13CDOC_ppt,WQ_DIAG_ISO_del15NNOx,WQ_DIAG_ISO_del15NNOx_ppt,WQ_DIAG_ISO_del18ONOx,WQ_DIAG_OXY_SAT,WQ_DIAG_PHY_TCHLA,WQ_DIAG_PHY_TCHLA_EXO,WQ_DIAG_TOT_TDN,WQ_DIAG_TOT_TDP,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TON,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TSS_MINERAL,WQ_DIAG_TOT_TSS_ORGANIC,WQ_DIAG_TOT_TURBIDITY,WQ_DIAG_TOT_TURBIDITY_EXO,WQ_NCS_SS1,WQ_NIT_AMM,WQ_NIT_AMM_GREY,WQ_NIT_NIT,WQ_NIT_NITRITE,WQ_NIT_NITRITE_GREY,WQ_NIT_NIT_GREY,WQ_OGM_DOC,WQ_OGM_DON,WQ_OGM_DOP,WQ_OGM_PON,WQ_OGM_fDOM,WQ_OXY_OXY,WQ_OXY_SAT,WQ_PHS_FRP,WQ_PHY_BGA_PE,WQ_SIL_RSI,spCOND,
SC_7,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_8,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_9,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
ww_Berowra_Creek_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_WISEMANS_FERRY__Box_10_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x, ,x,x, ,x, , , , , ,x, ,x, ,x,x,
ww_Box_9_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x, ,x,x, ,x, , , , , ,x, ,x, ,x,x,
ww_Colo_River_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_SACKVILLE_FERRY__Box_8_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_DOWNSTREAM_CATTAI_CK__Box_8_F,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Cattai_Creek_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x, ,
ww_Cattai_Creek_D,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x, ,
ww_Box_7_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x, ,x, , , , , ,x, ,x, ,x,x,
ww_Box_6_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x, ,x, , , , , ,x, ,x, ,x,x,
ww_Grose_River,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x, ,x, , , , , ,x, ,x, ,x,x,
ww_Box_5_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_DEVLINS_ROAD___Box_5_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Box_4_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Box_3_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_WALLACIA_BRIDGE__Box_2_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x, ,x, , , , , ,x, ,x, ,x,x,
ww_Box_2_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Maldon_Weir,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x, ,x,x, , , , , , , ,x, ,x, ,x,x,
ww_lower_South_Ck__tidal,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Eastern_Ck_u_s_Riverstone_WWTP,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Eastern_Creek_at_Garfield_Road,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Eastern_Creek_at_Douglas_Park_downstream_Breakfast_Creek,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Breakfast_Ck_d_s_Quakers_Hill_WWTP,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Breakfast_Ck_u_s_Quakers_Hill_WWTP,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Eastern_Creek_at_Richmond_Rd,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x, ,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Eastern_Creek_at_Great_Western_Hwy_Bridge,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_South_Creek_at_Richmond_Road_Bridge,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Ropes_Creek_at_Great_Western_Hwy,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_South_Ck_d_s_St_Marys_WWTP,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_South_Ck_u_s_St_Marys_WWTP,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_South_Creek_at_Great_Western_Hwy_Bridge_St_Marys,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x, ,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_South_Creek_at_Luddenham_Road,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x, ,x, , , , , ,x, ,x, ,x,x,
ww_Badgeries_Creek_at_Elizabeth_Drive,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x, ,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_South_Creek_at_Elizabether_Drive,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Kemps_Creek_at_Elizabeth_Drive,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_South_Ck_downstream_proposed_Lowes_Ck_WWTP_at_Bringelly_Road,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Lowes_Creek_at_Northern_Rd_Bridge,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Market_Garden,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Urban_WSUD,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x, ,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Urban_non_WSUD,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Intensive_Agriculture__Turf_Farms,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Industrial,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Commercial,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x,x, , ,x, , ,x,x,x,x,x,x, , , , , ,x, ,x, ,x,x,
ww_Pittwater_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Pittwater_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Pittwater_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_15_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_15_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_15_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Cowan_Creek_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Cowan_Creek_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Cowan_Creek_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_14_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_14_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_14_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Mullet_Creek_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Mullet_Creek_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Mullet_Creek_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_13_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_13_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_13_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Mooney_Mooney_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Mooney_Mooney_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Mooney_Mooney_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_12_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_12_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_12_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Berowra_Creek_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Berowra_Creek_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Mangrove_Creek_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Mangrove_Creek_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Mangrove_Creek_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_11_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_11_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_11_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_10_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_10_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_McDonalds_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_McDonalds_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_McDonalds_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Box_9_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, , , , , , , , , , ,x, ,x, , ,x,
ww_Colo_River_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Box_9_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
ww_Box_8_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , , , ,x, , , , , , , , ,x, ,x, ,x,x,
ww_Box_8_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , , , ,x, , , , , , , , ,x, ,x, ,x,x,
ww_Box_8_D,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
ww_Box_8_E,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
ww_Box_7_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
ww_DOWNSTREAM_SOUTH_CREEK_Box_7_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
ww_Box_6_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Box_6_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Winmalee_lagoon,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
ww_Box_4_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
ww_Box_3_Tench_Reserve,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Box_3_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Box_3_C,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Box_2_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Box_1_A,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Box_1_B,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , , , , , , , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Cataract_River,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_Douglas_Park,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, , , ,x,x,
ww_mid_South_Ck__tidal,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
ww_upper_South_Ck__tidal,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
ww_Eastern_Ck_further_u_s_Riverstone_WWTP,x, , , ,x, , , , , , ,x,x, , , , ,x,x, , , , ,x, , ,x, , , ,x, , ,x, ,x, , , , , , , , ,x, ,x, ,x,x,
