Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NH_mg/L,NOx_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
16/10/1992,11,126,20.2,8.9,42,,3,0.006,0.008,0.05,,,,, ,13.9,1.28342246,,8
16/10/1992,,,20.2,8.9,42,,,,0.019,0.05,,,3.65,, ,13.9,,,9
20/10/1992,11,127,19.3,8.4,42,,3,0.004,0.022,0.01,,,,, ,20.5,1.28342246,,46
20/10/1992,,,19.3,8.4,42,,,,0.02,0.01,,,2.85,, ,20.5,,,47
27/10/1992,10,113,20.5,8.1,41,,2,0.003,0.028,0.01,,,,, ,3.6,2.139037433,,2
27/10/1992,,,20.5,8.1,41,,,,0.034,0.01,,,3.45,, ,3.6,,,3
04/11/1992,9,111,20.8,7.8,40,,3,0.002,0.025,0.01,,,,, ,3.9,2.780748663,,20
04/11/1992,,,20.8,7.8,40,,,,0.019,0.01,,,2.68,, ,3.9,,,21
12/11/1992,,,,,,,,,0.018,,,,,, ,,,,
18/11/1992,9,107,20.5,7.9,53,,3,0.005,0.014,0.05,,,,, ,15.6,1.92513369,,30
18/11/1992,,,20.5,7.9,53,,,,0.15,0.05,,,2.11,, ,15.6,,,31
26/11/1992,9,109,22.3,8.2,44,,3,0.008,0.051,0.05,,,,, ,13.3,2.56684492,,28
26/11/1992,,,22.3,8.2,44,,,,0.029,0.05,,,1.59,, ,13.3,,,29
02/12/1992,7,83,21.3,7.7,47,,3,0.01,0.034,0.05,,,,, ,3.4,2.56684492,,14
02/12/1992,,,21.3,7.7,47,,,,0.033,0.05,,,1.22,, ,3.4,,,15
09/12/1992,7,81,20.8,,37,,12,0.011,0.023,0.35,,,,, ,2.9,2.139037433,,70
09/12/1992,,,20.8,,37,,,,0.021,0.35,,,0.99,, ,2.9,,,71
15/12/1992,9,107,23.3,8.5,39,,4,0.008,0.024,0.07,,,,, ,10,0.213903743,,22
15/12/1992,,,23.3,8.5,39,,,,0.049,0.07,,,0.61,, ,10,,,23
22/12/1992,6,,23.6,8.4,52,,8,0.005,0.023,0.08,,,,, ,2.1,3.20855615,,92
22/12/1992,,,23.6,8.4,52,,,,0.094,0.08,,,1.01,, ,2.1,,,93
31/12/1992,6,72,24.2,7.2,23,,54,0.043,0.05,0.25,,,,, ,3.6,9.625668449,,66
31/12/1992,,,24.2,7.2,23,,,,0.035,0.25,,,1.28,, ,3.6,,,67
06/01/1993,,,23,7.1,25,,,,0.025,0.08,,,1.46,, ,6.2,,,95
06/01/1993,5,61,23,7.1,25,4,15,0.013,0.024,0.08,0.63,,,, ,6.2,9.839572193,,94
15/01/1993,,,26.6,7.9,25,,,,0.023,0.05,,,1.04,, ,1.8,,,41
15/01/1993,8,103,26.6,7.9,25,,11,0.011,0.026,0.05,0.42,,,, ,1.8,8.128342246,,40
20/01/1993,,,27.6,7.5,24,,,,0.019,0.08,,,1.55,, ,1.8,,,15
20/01/1993,6,85,27.6,7.5,24,5,5,0.012,0.051,0.08,0.83,,,, ,1.8,6.631016043,,14
27/01/1993,,,24.9,6.9,33,,,,0.033,0.1,,,1.49,, ,3.6,,,37
27/01/1993,5,67,24.9,6.9,33,1,5,0.008,0.07,0.1,0.89,,,, ,3.6,6.631016043,,36
03/02/1993,,,28.1,7.5,27,,,,0.026,0.04,,,0.92,, ,6.8,,,61
03/02/1993,9,,28.1,7.5,27,4,4,0.009,0.024,0.04,0.25,,,, ,6.8,4.919786096,,60
10/02/1993,,,26.3,7.7,43,,,,0.037,0.08,,,1.82,, ,20.6,,,81
10/02/1993,8,,26.3,7.7,43,4,6,0.009,0.036,0.08,1.1,,1.82,, ,20.6,4.49197861,,80
16/02/1993,,,25.1,7.8,37,,,,0.028,0.1,,,1.35,, ,8.9,,,67
16/02/1993,7,,25.1,7.8,37,5,4,0.002,0.017,0.1,0.84,,1.35,, ,8.9,4.919786096,,66
22/02/1993,,,23.7,7.8,38,,,,0.029,0.09,,,0.84,, ,12.9,,,17
22/02/1993,6,,23.7,7.8,38,21,94,0.003,0.031,0.09,0.19,,,, ,12.9,5.561497326,,16
03/03/1993,,,22.6,7.5,32,,,,0.024,0.03,,,0.67,, ,18.7,,,51
03/03/1993,7,,22.6,7.5,32,7,38,0.006,0.025,0.03,0.17,,0.67,, ,18.7,5.347593583,,50
10/03/1993,,,21.9,7.4,40,,,,0.025,0.05,,,1.4,, ,2.2,,,1400
10/03/1993,6,,21.9,7.4,40,55,238,0.007,0.02,0.05,0.6,,1.4,, ,2.2,7.058823529,,1400
17/03/1993,,,21.9,7.5,29,,,,0.034,0.05,,,0.54,, ,4.1,,,63
17/03/1993,7,,21.9,7.5,29,3,21,0.006,0.023,0.05,0.15,,0.54,, ,4.1,4.49197861,,62
24/03/1993,,,22.7,7.7,31,,,,0.031,0.03,,,0.6,, ,9.8,,,140
24/03/1993,4,,22.7,7.7,31,2,17,0.005,0.036,0.03,0.24,,0.6,, ,9.8,4.064171123,,140
01/04/1993,,,21.3,7.3,38,,,,0.026,0.04,,,0.73,, ,1.1,,,330
01/04/1993,5,,21.3,7.3,38,6,54,0.009,0.035,0.04,0.4,,0.73,, ,1.1,5.77540107,,330
06/04/1993,,,22.3,7.4,35,,,,0.023,0.22,,,0.82,, ,11.2,,,51
06/04/1993,6,72,22.3,7.4,35,6,30,0.005,0.017,0.22,0.34,,0.82,, ,11.2,6.203208556,,50
15/04/1993,,,20.6,7.4,36,,,,0.021,0.02,,,0.82,, ,12.8,,,1000
15/04/1993,9,104,20.6,7.4,36,5,8,0.004,0.015,0.02,0.48,,0.82,, ,12.8,5.13368984,,1000
21/04/1993,,,20.3,7.3,36,,,,0.023,0.02,,,0.81,, ,4.8,,,25
21/04/1993,9,102,20.3,7.3,36,1,5,0.002,0.021,0.02,0.5,,0.81,, ,4.8,4.919786096,,24
29/04/1993,,,20.3,7.6,43,,,,0.01,0.01,,,1.6,, ,16.2,,,59
29/04/1993,11,129,20.3,7.6,43,1,4,0.002,0.019,0.01,1.16,,1.6,, ,16.2,4.064171123,,58
06/05/1993,,,17.5,7.4,46,,,,0.023,0.04,,,2,, ,14.4,,,37
06/05/1993,11,120,17.5,7.4,46,5,6,0.002,0.019,0.04,1.6,,2,, ,14.4,3.20855615,,36
13/05/1993,,,16.8,7.5,50,,,,0.014,0.04,,,3,, ,11.2,,,51
13/05/1993,,,16.8,7.5,50,3,6,0.002,0.021,0.04,2.7,,3,, ,11.2,2.56684492,,50
20/05/1993,,,15.2,7.8,56,,,,0.014,0.02,,,4,, ,10.2,,,9
20/05/1993,10,,15.2,7.8,56,1,6,0.002,0.014,0.02,3.6,,4,, ,10.2,1.754010695,,8
27/05/1993,,,14.3,8.1,58,,,,0.014,0.11,,,3.7,, ,8.6,,,15
27/05/1993,10,100,14.3,8.1,58,7,6,0.004,0.011,0.11,3.4,,3.7,, ,8.6,1.92513369,,14
02/06/1993,,,14,7.7,42,,,,0.019,0.06,,,0.61,, ,5.1,,,63
02/06/1993,8,,14,7.7,42,1,7,0.002,0.012,0.06,0.37,,0.61,, ,5.1,3.422459893,,62
07/06/1993,,,13.4,7.3,40,,,,0.015,0.03,,,0.91,, ,5.8,,,280
07/06/1993,8,79,13.4,7.3,40,4,8,0.009,0.012,0.03,0.66,,0.91,, ,5.8,3.20855615,,280
17/06/1993,,,10.3,7,48,,,,0.016,0.2,,,1.9,, ,9.6,,,9
17/06/1993,11,104,10.3,7,48,8,5,0.005,0.011,0.2,1.3,,1.9,, ,9.6,2.994652406,,8
25/06/1993,,,7,8,53,,,,0.015,0.1,,,3,, ,22.2,,,15
25/06/1993,,,7,8,53,1,3,0.004,0.013,0.1,2.4,,3,, ,22.2,3.422459893,,14
30/06/1993,,,10,8,52,,,,0.013,0.06,,,2.6,, ,43.1,,,27
30/06/1993,13,125,10,8,52,5,4,0.004,0.013,0.06,1.8,,2.6,, ,43.1,2.56684492,,26
09/07/1993,,,12,7.3,49,,,,0.01,0.06,,,1.9,, ,17.4,,,160
09/07/1993,10,,12,7.3,49,,4,0.004,0.011,0.06,1.3,,1.9,, ,17.4,4.919786096,,160
14/07/1993,,,11.8,7.4,50,,,,0.014,0.09,,,0.58,, ,5.5,,,210
14/07/1993,9,,11.8,7.4,50,,31,0.008,0.01,0.09,0.27,,0.58,, ,5.5,3.422459893,,210
19/07/1993,,,12.7,7.7,52,,,,0.039,0.03,,,0.62,, ,5.4,,,49
19/07/1993,7,,12.7,7.7,52,,13,0.004,0.015,0.03,0.43,,0.62,, ,5.4,5.77540107,,48
28/07/1993,,,11.3,7.6,46,,,,0.01,0.04,,,0.95,, ,5.9,,,13
28/07/1993,8,,11.3,7.6,46,,5,0.012,0.014,0.04,0.66,,0.95,, ,5.9,3.636363636,,12
06/08/1993,,,11.6,7.7,59,,,,0.021,0.05,,,1.7,, ,4.9,,,57
06/08/1993,9,,11.6,7.7,59,,5,0.008,0.024,0.05,1.3,,1.7,, ,4.9,3.20855615,,56
11/08/1993,,,11.4,7.3,52,,,,0.027,0.08,,,0.61,, ,7.2,,,41
11/08/1993,8,,11.4,7.3,52,,10,0.002,0.029,0.08,0.31,,0.61,, ,7.2,2.352941176,,40
19/08/1993,,,12.5,7.6,66,,,,0.021,0.04,,,1.8,, ,15.4,,,9
19/08/1993,10,,12.5,7.6,66,,5,0.005,0.014,0.04,1.5,,1.8,, ,15.4,3.20855615,,8
26/08/1993,,,14.5,7.8,59,,,,0.019,0.01,,,0.13,, ,5.1,,,7
26/08/1993,11,,14.5,7.8,59,,2,0.012,0.018,0.01,0.99,,0.13,, ,5.1,2.56684492,,6
31/08/1993,,,15.5,8.2,56,,,,0.021,0.01,,,0.93,, ,6.2,,,7
31/08/1993,11,116,15.5,8.2,56,,2,0.003,0.018,0.01,0.7,,0.93,, ,6.2,1.92513369,,6
09/09/1993,,,15.7,7.4,67,,,,0.025,0.01,,,2.2,, ,25.4,,,7
09/09/1993,12,124,15.7,7.4,67,,2,0.004,0.02,0.01,1.9,,2.2,, ,25.4,2.56684492,,6
16/09/1993,,,14.9,7.6,51,,,,0.045,0.05,,,0.49,, ,2.7,,,300
16/09/1993,8,,14.9,7.6,51,,18,0.003,0.03,0.05,0.18,,0.49,, ,2.7,1.28342246,,300
20/09/1993,,,16.2,7.8,49,,,,0.027,0.02,,,0.44,, ,2.4,,,65
20/09/1993,7,,16.2,7.8,49,,7,0.005,0.028,0.02,0.13,,0.44,, ,2.4,1.711229947,,64
27/09/1993,,,16.8,8.1,48,,,,0.02,0.02,,,0.44,, ,2.3,,,9
27/09/1993,7,,16.8,8.1,48,,2,0.003,0.028,0.02,0.21,,0.44,, ,2.3,1.497326203,,8
06/10/1993,,,18.6,7.6,53,,,,0.02,0.03,,,0.91,, ,2.3,,,180
06/10/1993,6,,18.6,7.6,53,,7,0.002,0.024,0.03,0.56,,0.91,, ,2.3,1.711229947,,180
11/10/1993,,,19.8,8,42,,,,0.056,0.02,,,0.39,, ,1.5,,,13
11/10/1993,8,,19.8,8,42,,3,0.009,,0.02,0.17,,0.39,, ,1.5,1.28342246,,12
20/10/1993,,,20.3,7.6,44,,,,0.024,0.03,,,0.92,, ,2.1,,,19
20/10/1993,8,,20.3,7.6,44,,2,0.004,0.016,0.03,0.68,,0.92,, ,2.1,1.711229947,,18
25/10/1993,,,21.6,7.7,47,,,,,0.02,,,0.79,, ,1.8,,,7
25/10/1993,7,,21.6,7.7,47,,3,0.006,0.011,0.02,0.57,,0.79,, ,1.8,1.711229947,,6
01/11/1993,,,20.6,7.5,46,,,,0.012,0.05,,,1,, ,3,,,7
01/11/1993,8,,20.6,7.5,46,1,2,0.006,0.011,0.05,0.76,,1,, ,3,1.711229947,,6
12/11/1993,,,20.6,7.7,45,,,,0.027,0.01,,,1.2,, ,5.3,,,3
12/11/1993,8,,20.6,7.7,45,4,2,0.003,0.011,0.01,0.86,,1.2,, ,5.3,1.28342246,,2
19/11/1993,,,24.3,8.4,41,,,,0.019,0.01,,,0.74,, ,3.4,,,13
19/11/1993,9,,24.3,8.4,41,1,3,0.002,0.009,0.01,0.48,,0.74,, ,3.4,0.855614973,,12
22/11/1993,,,23.7,8.1,41,,,,0.013,0.01,,,0.99,, ,5.5,,,15
22/11/1993,9,,23.7,8.1,41,2,2,0.005,0.018,0.01,0.58,,0.99,, ,5.5,0.427807487,,14
01/12/1993,,,25.3,8.1,37,,,,0.011,0.01,,,0.49,, ,2.1,,,9
01/12/1993,8,,25.3,8.1,37,1,2,0.002,0.016,0.01,0.21,,0.49,, ,2.1,1.497326203,,8
06/12/1993,,,23.1,7.8,38,,,,0.016,0.03,,,0.68,, ,7.1,,,17
06/12/1993,7,,23.1,7.8,38,4,3,0.004,0.021,0.03,0.35,,0.68,, ,7.1,1.497326203,,16
13/12/1993,,,25.9,8.1,42,,,,0.009,0.02,,,1.2,, ,3,,,3
13/12/1993,9,,25.9,8.1,42,1,2,0.003,0.014,0.02,0.98,,1.2,, ,3,1.069518717,,2
20/12/1993,,,26.5,8.3,43,,,,0.094,0.01,,,1.3,, ,3.4,,,15
20/12/1993,9,,26.5,8.3,43,2,3,0.002,0.032,0.01,0.93,,1.3,, ,3.4,1.28342246,,14
30/12/1993,,,24.6,8,47,,,,,0.01,,,1.4,, ,4.6,,,3
30/12/1993,7,,24.6,8,47,2,2,0.003,0.036,0.01,1.1,,1.4,, ,4.6,1.069518717,,2
07/01/1994,,,26.3,8.3,54,,,,0.023,0.01,,,1.9,, ,4.4,,,17
07/01/1994,8,,26.3,8.3,54,2,2,0.007,0.038,0.01,1.6,,1.9,, ,4.4,0.855614973,,16
13/01/1994,,,27.4,7.9,57,,,,0.039,0.04,,,1.6,, ,5,,,23
13/01/1994,8,,27.4,7.9,57,2,2,0.005,0.03,0.04,1.4,,1.6,, ,5,1.069518717,,22
21/01/1994,,,27.3,7.7,59,,,,0.024,0.04,,,1.6,, ,3.9,,,27
21/01/1994,8,,27.3,7.7,59,3,2,0.007,0.022,0.04,1.3,,1.6,, ,3.9,0.983957219,,26
27/01/1994,,,26.4,8.1,60,,,,0.016,0.08,,,1.8,, ,3,,,5
27/01/1994,8,,26.4,8.1,60,2,2,0.003,0.022,0.08,1,,1.8,, ,3,1.368983957,,4
03/02/1994,,,26.1,7.7,61,,,,0.02,0.06,,,1.3,, ,7.3,,,7
03/02/1994,7,,26.1,7.7,61,6,2,0.004,0.013,0.06,0.88,,1.3,, ,7.3,1.92513369,,6
08/02/1994,,,27.3,7.6,63,,,,0.013,0.14,,,1.1,, ,2.5,,,29
08/02/1994,7,,27.3,7.6,63,3,2,0.002,0.015,0.14,0.8,,1.1,, ,2.5,2.352941176,,28
14/02/1994,,,25.9,7,47,,,,0.033,0.14,,,1.3,, ,7.7,,,300
14/02/1994,5,,25.9,7,47,2,9,0.009,0.026,0.14,0.83,,1.3,, ,7.7,4.705882353,,300
22/02/1994,,,24.3,7.6,34,,,,0.021,0.08,,,0.51,, ,4.9,,,5
22/02/1994,6,,24.3,7.6,34,2,3,0.003,0.028,0.08,0.17,,0.51,, ,4.9,2.994652406,,4
04/03/1994,,,24.8,7.6,46,,,,0.008,0.04,,,0.78,, ,3,,,7
04/03/1994,7,,24.8,7.6,46,2,1,0.002,0.019,0.04,0.46,,0.78,, ,3,3.20855615,,6
08/03/1994,,,24.9,7.6,47,,,,0.022,0.02,,,0.86,, ,4.7,,,5
08/03/1994,8,,24.9,7.6,47,3,4,0.002,0.02,0.02,0.61,,0.86,, ,4.7,3.20855615,,4
24/03/1994,,,21.7,8,53,,,,0.028,0.04,,,0.92,, ,10,,,33
24/03/1994,9,,21.7,8,53,,3,0.01,0.034,0.04,0.47,,0.92,, ,10,3.636363636,,32
28/03/1994,,,21.3,8.1,54,,,,0.025,0.05,,,1.1,, ,3.7,,,67
28/03/1994,8,,21.3,8.1,54,,5,0.002,0.019,0.05,0.36,,1.1,, ,3.7,3.422459893,,66
07/04/1994,,,22.4,8.4,50,,,,0.018,0.01,,,0.92,, ,9.6,,,15
07/04/1994,9,,22.4,8.4,50,2,3,0.011,,0.01,0.59,,0.92,, ,9.6,3.85026738,,14
11/04/1994,,,21.1,8.2,51,,,,,0.04,,,1.2,, ,11.6,,,15
11/04/1994,8,,21.1,8.2,51,4,3,0.01,,0.04,0.66,,1.2,, ,11.6,4.49197861,,14
21/04/1994,,,19.1,8,48,,,,,0.04,,,0.79,, ,14,,,210
21/04/1994,8,,19.1,8,48,4,6,0.01,,0.04,0.4,,0.79,, ,14,3.85026738,,210
28/04/1994,,,19.2,7.4,48,,,,0.014,0.09,,,0.78,, ,6.2,,,15
28/04/1994,7,,19.2,7.4,48,2,3,0.01,0.15,0.09,0.38,,0.78,, ,6.2,4.49197861,,14
04/05/1994,,,18.9,7.2,50,,,,0.051,0.1,,,1,, ,5.9,,,13
04/05/1994,7,,18.9,7.2,50,4,6,0.01,,0.1,0.58,,1,, ,5.9,4.705882353,,12
12/05/1994,,,16.6,7.3,57,,,,0.029,0.1,,,1.3,, ,10.7,,,71
12/05/1994,7,,16.6,7.3,57,6,6,0.01,0.034,0.1,0.98,,1.3,, ,10.7,5.77540107,,70
17/05/1994,,,14.7,7.4,61,,,,0.033,0.06,,,2.1,, ,3.1,,,17
17/05/1994,8,,14.7,7.4,61,6,3,0.012,,0.06,1.7,,2.1,, ,3.1,5.561497326,,16
27/05/1994,,,13.7,8,58,,,,,0.03,,,2.7,, ,12.3,,,27
27/05/1994,10,,13.7,8,58,2,2,0.01,,0.03,2,,2.7,, ,12.3,4.278074866,,26
02/06/1994,,,14,9.1,,,,,,0.02,,,2.5,, ,18.3,,,3
02/06/1994,9,,14,9.1,,2,2,0.01,,0.02,1.9,,2.5,, ,18.3,3.85026738,,2
10/06/1994,,,13.4,7.7,56,,,,,0.08,,,2.6,, ,10.7,,,23
10/06/1994,10,,13.4,7.7,56,3,2,0.01,0.023,0.08,2.1,,2.6,, ,10.7,3.20855615,,22
14/06/1994,,,12,7.5,28,,,,0.021,0.02,,,2.9,, ,16.2,,,51
14/06/1994,9,,12,7.5,28,5,5,0.01,0.024,0.02,2.5,,2.9,, ,16.2,4.705882353,,50
22/06/1994,,,10.6,7.8,36,,,,0.049,0.01,,,1.3,, ,17.6,,,11
22/06/1994,10,,10.6,7.8,36,3,3,0.01,,0.01,1.1,,1.3,, ,17.6,3.85026738,,10
27/06/1994,,,10.8,7.6,51,,,,,0.01,,,1.8,, ,18.1,,,9
27/06/1994,11,,10.8,7.6,51,4,2,0.012,,0.01,1.2,,1.8,, ,18.1,4.064171123,,8
26/07/1994,,,10.5,7.3,60,,,,,0.09,,,2.4,, ,10.2,,,3
26/07/1994,11,,10.5,7.3,60,0.5,0,,,0.09,2.18,,2.4,, ,10.2,4.278074866,,2
02/08/1994,,,10.4,8,61,,,,,0.02,,,2.7,, ,9.2,,,5
02/08/1994,11,,10.4,8,61,,2,0.002,,0.02,2.3,,2.7,, ,9.2,4.021390374,,4
09/08/1994,,,10.1,8.1,63,,,,,,,,2.82,, ,13,,,3
09/08/1994,10,,10.1,8.1,63,,0,,,,2.4,,2.82,, ,13,3.978609626,,2
16/08/1994,,,11.1,8.4,64,,,,,0.02,,,3.4,, ,11.4,,,3
16/08/1994,11,,11.1,8.4,64,2,0,0.01,,0.02,2.72,,3.4,, ,11.4,3.636363636,,2
24/08/1994,,,11.8,8.23,60.9,,,,,0.03,,,2.85,, ,12.1,,,5
24/08/1994,11,,11.8,8.23,60.9,5,2.6,0.011,,0.03,2.56,,2.85,, ,12.1,3.486631016,,4
31/08/1994,,,14.1,8.94,63.7,,,,,0.01,,,3.38,, ,24.2,,,3
31/08/1994,12,,14.1,8.94,63.7,25,14.4,0.011,,0.01,2.94,,3.38,, ,24.2,2.631016043,,2
06/09/1994,,,,,,,,,,,,,,, ,,,,
13/09/1994,,,16.9,8.4,64,,,,,0.05,,,2.72,, ,10,,,9
13/09/1994,10,,16.9,8.4,64,7,6,0.005,,0.05,2.5,,2.72,, ,10,0.213903743,,8
20/09/1994,,,15.3,8.2,64,,,,,0.06,,,2.4,, ,6.6,,,7
20/09/1994,8,,15.3,8.2,64,3,3,0.004,,0.06,2.27,,2.4,, ,6.6,0.79144385,,6
27/09/1994,,,,,,,,,,,,,,, ,,,,
04/10/1994,,,16.7,7.8,74,,,,,0.05,,,3.35,, ,1.7,,,13
04/10/1994,8,,16.7,7.8,74,2,2,0.005,,0.05,2.8,,3.35,, ,1.7,0.748663102,,12
11/10/1994,,,18,7.8,77,,,,,0.08,,,3.43,, ,0.2,,,11
11/10/1994,7,,18,7.8,77,2,2,0.008,,0.08,3.1,,3.43,, ,0.2,1.026737968,,10
18/10/1994,,,20.4,7.9,77,,,,,0.09,,,3.66,, ,1.6,,,5
18/10/1994,8,,20.4,7.9,77,2,1,0.006,,0.09,3.24,,3.66,, ,1.6,1.390374332,,4
25/10/1994,,,19.2,7.9,88,,,,,0.08,,,3.58,, ,0.7,,,13
25/10/1994,8,,19.2,7.9,88,2,1,0.006,,0.08,3.08,,3.58,, ,0.7,1.839572193,,12
01/11/1994,,,20.2,8.1,76,,,,,0.04,,,3,, ,0.2,,,19
01/11/1994,9,,20.2,8.1,76,2,1,0.005,,0.04,2.8,,3,, ,0.2,2.395721925,,18
08/11/1994,,,18.5,8.4,84,,,,,0.04,,,3.26,, ,0.5,,,12
08/11/1994,8,,18.5,8.4,84,3,2,0.016,,0.04,2.03,,3.26,, ,0.5,2.352941176,,11
15/11/1994,,,22.2,8.1,85,,,,,0.04,,,4.28,, ,0.7,,,7
15/11/1994,9,,22.2,8.1,85,2,2,0.006,,0.04,3.6,,4.28,, ,0.7,2.994652406,,6
22/11/1994,,,21.7,8.6,89,,,,,0.04,,,4.15,, ,0.5,,,19
22/11/1994,8,,21.7,8.6,89,2,2,0.005,,0.04,3.81,,4.15,, ,0.5,3.679144385,,18
29/11/1994,,,25.4,8.5,22,,,,,0.03,,,3.96,, ,3.2,,,200
29/11/1994,8,,25.4,8.5,22,2,3,0.01,,0.03,1.25,,3.96,, ,3.2,2.502673797,,200
06/12/1994,,,24.2,8,86,,,,,0.04,,,4.16,, ,0.5,,,35
06/12/1994,8,,24.2,8,86,2,2,0.004,,0.04,3.86,,4.16,, ,0.5,3.764705882,,34
13/12/1994,,,25.2,8.1,85,,,,,0.02,,,3.72,, ,4.3,,,3
13/12/1994,,,25.2,8.1,85,2,2,0.01,,0.02,3.62,,3.72,, ,4.3,3.251336898,,2
22/12/1994,,,28.3,9.1,83,,,,,0.02,,,3.29,, ,2.3,,,15
22/12/1994,8,,28.3,9.1,83,2,4,0.011,,0.02,3.16,,3.29,, ,2.3,2.823529412,,14
03/01/1995,,,24.4,,85,,,,,0.06,,,3.04,, ,2.7,,,29
03/01/1995,8,,24.4,,85,5,5,0.01,,0.06,2.38,,3.04,, ,2.7,2.609625668,,28
10/01/1995,,,23.4,7.8,83,,,,,0.06,,,2.63,, ,3.2,,,19
10/01/1995,6,,23.4,7.8,83,4,3,0.002,,0.06,1.89,,2.63,, ,3.2,3.229946524,,18
17/01/1995,,,26.3,8.7,86,,,,,0.03,,,2.29,, ,2.3,,,7
17/01/1995,8,,26.3,8.7,86,2,19,0.007,,0.03,1.92,,2.29,, ,2.3,4.64171123,,6
24/01/1995,,,22.5,7.8,55,,,,,0.05,,,0.72,, ,8,,,540
24/01/1995,7,,22.5,7.8,55,10,26,0.014,,0.05,0.17,,0.72,, ,8,4.919786096,,540
01/02/1995,,,24.3,8.6,59,,,,,0.01,,,0.5,, ,12.6,,,15
01/02/1995,9,,24.3,8.6,59,3,4,0.004,,0.01,0.04,,0.5,, ,12.6,3.550802139,,14
07/02/1995,,,,,,,,,,,,,,, ,,,,
14/02/1995,,,25.1,8.4,67,,,,,0.03,,,1.35,, ,20.4,,,45
14/02/1995,8,,25.1,8.4,67,4,4,0.007,,0.03,0.71,,1.35,, ,20.4,5.604278075,,44
20/02/1995,,,24,7.9,66,,,,,0.1,,,1.03,, ,14.6,,,15
20/02/1995,5,,24,7.9,66,4,5,0.006,,0.1,0.34,,1.03,, ,14.6,4.919786096,,14
28/02/1995,,,26.1,8.3,73,,,,,0.03,,,1.38,, ,10.7,,,11
28/02/1995,8,,26.1,8.3,73,14,4,0.004,,0.03,0.59,,1.38,, ,10.7,5.561497326,,10
07/03/1995,,,21.3,8.2,38,,,,,0.07,,,0.56,, ,3.4,,,540
07/03/1995,7,,21.3,8.2,38,10,14,0.018,,0.07,0.1,,0.56,, ,3.4,5.28342246,,540
14/03/1995,,,21.9,7.4,31,,,,,0.08,,,0.98,, ,10.3,,,41
14/03/1995,6,,21.9,7.4,31,6,8,0.015,,0.08,0.35,,0.98,, ,10.3,7.144385027,,40
21/03/1995,,,23.1,7.2,31,,,,,0.03,,,0.71,, ,8.8,,,35
21/03/1995,7,,23.1,7.2,31,6,4,0.011,,0.03,0.24,,0.71,, ,8.8,7.294117647,,34
28/03/1995,,,22.5,7.3,34,,,,,0.07,,,0.83,, ,8.5,,,21
28/03/1995,7,,22.5,7.3,34,3,5,0.004,,0.07,0.42,,0.83,, ,8.5,7.679144385,,20
04/04/1995,,,19.6,7.2,35,,,,,0.14,,,1.03,, ,6.3,,,15
04/04/1995,5,,19.6,7.2,35,4,6,0.006,,0.14,0.58,,1.03,, ,6.3,8.513368984,,14
11/04/1995,,,19.5,7.2,43,,,,,0.07,,,1.69,, ,8.7,,,17
11/04/1995,7,,19.5,7.2,43,5,7,0.006,,0.07,1.13,,1.69,, ,8.7,8.385026738,,16
18/04/1995,,,18,7.4,56,,,,,0.04,,,2.09,, ,9.4,,,9
18/04/1995,8,,18,7.4,56,2,3,0.011,,0.04,1.56,,2.09,, ,9.4,6.86631016,,8
26/04/1995,,,17.3,7.3,52,,,,,0.08,,,1.92,, ,1.2,,,9
26/04/1995,6,,17.3,7.3,52,2,3,0.007,,0.08,1.48,,1.92,, ,1.2,5.77540107,,8
02/05/1995,,,18.6,7.3,49,,,,,0.11,,,2.36,, ,0.3,,,99
02/05/1995,7,,18.6,7.3,49,2,1,0.007,,0.11,1.5,,2.36,, ,0.3,6.203208556,,98
10/05/1995,,,17.7,8.2,52,,,,,0.12,,,1.9,, ,2.5,,,17
10/05/1995,7,,17.7,8.2,52,2,3,0.006,,0.12,1.58,,1.9,, ,2.5,7.272727273,,16
16/05/1995,,,17.1,7,62,,,,,0.07,,,2.98,, ,3.2,,,600
16/05/1995,6,,17.1,7,62,6,14,0.015,,0.07,2.57,,2.98,, ,3.2,7.935828877,,600
23/05/1995,,,16,6.4,16,,,,,0.06,,,0.9,, ,1.2,,,360
23/05/1995,9,,16,6.4,16,5,13,0.007,,0.06,0.4,,0.9,, ,1.2,4.941176471,,360
30/05/1995,,,13.7,7,24,,,,,0.06,,,1.01,, ,4.6,,,45
30/05/1995,8,,13.7,7,24,7,23,0.008,,0.06,0.57,,1.01,, ,4.6,5.732620321,,44
06/06/1995,,,13,7.3,25,,,,,0.05,,,0.81,, ,5.4,,,43
06/06/1995,9,,13,7.3,25,6,10,0.005,,0.05,0.53,,0.81,, ,5.4,5.818181818,,42
13/06/1995,,,12.5,6.8,32,,,,,0.05,,,1.62,, ,5.1,,,55
13/06/1995,8,,12.5,6.8,32,3,7,0.006,,0.05,1.03,,1.62,, ,5.1,6.524064171,,54
20/06/1995,,,11,7.3,45,,,,,0.01,,,1.7,, ,10.5,,,31
20/06/1995,9,,11,7.3,45,5,7,0.005,,0.01,1.39,,1.7,, ,10.5,7.037433155,,30
27/06/1995,,,10.2,7.2,41,,,,,0.02,,,1.93,, ,8.1,,,21
