FVC file = HN_Cal_2014.fvc, Simulation Execution: 14/02/2020 17:01:03
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.33290662600000E+06, 0.62869918600000E+07,  0.0000000E+00,  0.1761089E+03,  0.3421266E+03,         998,        1036,          58,          58
, 0.33274080300000E+06, 0.62869838200000E+07,  0.0000000E+00,  0.3421266E+03,  0.3421266E+03,,,          58,          58
, 0.33256856700000E+06, 0.62872939500000E+07,  0.0000000E+00,  0.0000000E+00,  0.8027698E+03,        1032,        1062,          59,          59
, 0.33260320600000E+06, 0.62874231900000E+07,  0.0000000E+00,  0.1338015E+03,  0.8027698E+03,        1033,        1063,          59,          59
, 0.33263784400000E+06, 0.62875524200000E+07,  0.0000000E+00,  0.2675930E+03,  0.8027698E+03,        1034,        1064,          59,          59
, 0.33267248300000E+06, 0.62876816500000E+07,  0.0000000E+00,  0.4013849E+03,  0.8027698E+03,        1037,        1065,          59,          59
, 0.33270712200000E+06, 0.62878108900000E+07,  0.0000000E+00,  0.5351864E+03,  0.8027698E+03,        1039,        1068,          59,          59
, 0.33274176000000E+06, 0.62879401200000E+07,  0.0000000E+00,  0.6689780E+03,  0.8027698E+03,        1069,        1070,          59,          59
, 0.33277639900000E+06, 0.62880693500000E+07,  0.0000000E+00,  0.8027698E+03,  0.8027698E+03,,,          59,          59
, 0.33164857400000E+06, 0.62880382800000E+07,  0.0000000E+00,  0.0000000E+00,  0.1271112E+04,        1203,        1227,          60,          60
, 0.33174649200000E+06, 0.62881448900000E+07,  0.0000000E+00,  0.1447537E+03,  0.1271112E+04,        1204,        1228,          60,          60
, 0.33184441000000E+06, 0.62882515100000E+07,  0.0000000E+00,  0.2895147E+03,  0.1271112E+04,        1205,        1229,          60,          60
, 0.33194232800000E+06, 0.62883581200000E+07,  0.0000000E+00,  0.4342684E+03,  0.1271112E+04,        1207,        1230,          60,          60
, 0.33204024600000E+06, 0.62884647300000E+07,  0.0000000E+00,  0.5790220E+03,  0.1271112E+04,        1206,        1231,          60,          60
, 0.33213816400000E+06, 0.62885713400000E+07,  0.0000000E+00,  0.7237757E+03,  0.1271112E+04,        1208,        1232,          60,          60
, 0.33223608200000E+06, 0.62886779600000E+07,  0.0000000E+00,  0.8685367E+03,  0.1271112E+04,        1209,        1233,          60,          60
, 0.33233400000000E+06, 0.62887845700000E+07,  0.0000000E+00,  0.1013290E+04,  0.1271112E+04,        1210,        1234,          60,          60
, 0.33246686500000E+06, 0.62888037800000E+07,  0.0000000E+00,  0.1147537E+04,  0.1271112E+04,        1211,        1212,          60,          60
, 0.33258962300000E+06, 0.62887895900000E+07,  0.0000000E+00,  0.1271112E+04,  0.1271112E+04,,,          60,          60
, 0.33105658700000E+06, 0.62891223900000E+07,  0.0000000E+00,  0.0000000E+00,  0.1146314E+04,        1367,        1393,          61,          61
, 0.33110539100000E+06, 0.62891619300000E+07,  0.0000000E+00,  0.6281116E+02,  0.1146314E+04,        1366,        1392,          61,          61
, 0.33115419600000E+06, 0.62892014600000E+07,  0.0000000E+00,  0.1256168E+03,  0.1146314E+04,        1364,        1391,          61,          61
