Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonia mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL,TN_mgperL,TP_mgperL
11/02/2012 00:00:00,0.275562,0.586000,22.930972,1.000000,195.316187,0.000000,43.834203,410.789600,0.256622,   NaN,4053.333333,113.333333,405.684558,3.676471,0.005237,0.125237,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.240092,1.000000,454.623804,0.387097
12/02/2012 00:00:00,0.375643,0.502403,22.914481,1.000000,195.338982,0.000000,30.272643,413.189496,0.128311,   NaN,4053.333333,113.333333,408.084454,3.676471,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,3.768428,1.000000,443.462139,0.193548
13/02/2012 00:00:00,0.503737,0.467440,22.896239,1.219441,195.382583,0.000000,1.428571,513.495487,1.038786,   NaN,4028.463320,138.203347,507.583676,4.483240,0.021200,0.506950,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.929368,1.000000,514.924059,1.566936
14/02/2012 00:00:00,0.320597,0.464876,22.876252,1.268740,195.446978,0.000000,1.428571,533.689170,0.608105,   NaN,4022.876167,143.790500,527.596115,4.664484,0.012410,0.296768,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,535.117742,0.917283
15/02/2012 00:00:00,0.270142,0.466939,22.854525,2.374367,195.532146,0.000000,11.062095,525.708005,0.341963,   NaN,3897.571691,269.094975,479.241740,8.729292,0.006979,0.166885,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,536.770100,0.515827
16/02/2012 00:00:00,0.227578,0.419983,22.831065,1.873369,195.638064,0.000000,1.428571,485.574484,0.444188,   NaN,3954.351469,212.315198,477.258526,6.887387,0.009065,0.216773,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,487.003056,0.670026
17/02/2012 00:00:00,0.214201,0.536000,22.805879,1.000000,195.764699,0.000000,37.116569,502.553328,0.235237,   NaN,4053.333333,113.333333,487.602707,3.676471,0.004801,0.114801,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,539.669897,0.354839
18/02/2012 00:00:00,0.223317,0.406830,22.778974,1.000000,195.912014,0.000000,32.582331,444.005539,0.289514,   NaN,4053.333333,113.333333,409.003746,3.676471,0.005908,0.141289,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,3.447583,1.000000,476.587869,0.436711
19/02/2012 00:00:00,0.209473,0.404653,22.750359,1.000000,196.079966,0.000000,7.383015,537.751367,0.651811,   NaN,4053.333333,113.333333,532.646325,3.676471,0.013302,0.318098,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,2.691374,1.000000,545.134382,0.983211
20/02/2012 00:00:00,0.636170,0.545065,22.720041,3.660792,196.268505,0.000000,7.875836,476.022492,0.199593,   NaN,3751.776942,414.889724,380.469042,13.458793,0.004073,0.097405,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.661715,1.000000,483.898328,0.301071
21/02/2012 00:00:00,0.331755,0.441325,22.688030,1.000000,196.477574,0.000000,1.428571,640.707472,1.021949,   NaN,4053.333333,113.333333,635.602430,3.676471,0.020856,0.498733,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,3.089283,1.000000,642.136043,1.541538
22/02/2012 00:00:00,0.289236,0.498230,22.654335,1.000000,196.707113,0.000000,1.428571,550.725715,1.262856,   NaN,4053.333333,113.333333,520.239843,3.676471,0.025773,0.616300,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,552.154287,1.904929
23/02/2012 00:00:00,0.223575,0.602000,22.618967,1.000000,196.957053,0.000000,1.428571,604.872684,0.278008,   NaN,4053.333333,113.333333,597.810200,3.676471,0.005674,0.135674,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.838095,1.000000,606.301256,0.419355
24/02/2012 00:00:00,0.195277,0.423177,22.581935,2.924641,197.227320,0.000000,1.428571,491.167211,0.511837,   NaN,3835.207367,331.459300,349.742659,10.752356,0.010446,0.249788,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,4.052297,1.000000,492.595783,0.772071
25/02/2012 00:00:00,0.196831,0.409926,22.543251,1.000000,197.517834,0.000000,1.428571,441.931167,0.128311,   NaN,4053.333333,113.333333,436.826124,3.676471,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,2.147372,1.000000,443.359738,0.193548
26/02/2012 00:00:00,0.179101,0.431357,22.502926,1.000000,197.828509,0.000000,58.473801,440.420125,0.174597,   NaN,4053.333333,113.333333,435.315083,3.676471,0.003563,0.085207,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,498.893926,0.263368
